,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30
0,20,99.41410821,61.31642691,55.40792331,31.51590867,68.45735784,62.25475757,82.23384821,43.95066703,49.54934356,20,99.41410821,61.31642691,55.40792331,31.51590867,68.45735784,62.25475757,82.23384821,43.95066703,49.54934356,20,99.41410821,61.31642691,55.40792331,31.51590867,68.45735784,62.25475757,82.23384821,43.95066703,49.54934356
1,28.41470985,100.215683,59.62164679,53.23075229,31.3120193,67.3241782,60.81413058,84.91068861,45.67210126,49.20691743,27.70025266,91.6929587,64.44193622,52.81539349,28.25158852,72.38396817,65.7384496,87.16865576,49.88272664,50.5619642,29.40310456,82.97192681,59.97507594,54.47375721,29.21056361,71.3248397,66.7924266,95.52622658,46.56766468,50.31141097
2,29.09297427,98.91855501,59.54989558,52.36077045,30.46842924,64.80256552,61.56657736,82.40902014,43.68410795,49.95575756,29.1847418,81.65780054,61.10867944,55.00081037,29.51621753,72.42496163,61.2154061,86.85804356,45.12540102,48.23050623,33.00364136,68.26594229,57.5895788,61.38949787,30.7115181,76.08549439,64.07160387,102.8961008,39.41636491,48.76981157
3,21.41120008,94.69936335,60.25511389,52.54991025,31.92828194,67.98791523,59.29861265,86.30830882,45.51014771,48.30396315,20.3866968,76.47557309,59.78093891,56.65520394,32.30501495,80.74358143,53.21952582,90.8657116,43.0272206,42.33591025,23.66430242,66.35382477,52.25422387,64.5002025,35.2250068,81.48143739,56.35608814,114.975159,37.16508712,39.6955253
4,12.43197505,93.1060224,62.14137186,52.41202021,32.0205692,67.23631476,59.27390887,85.6638538,44.42121828,50.03949734,12.66627711,73.31824595,60.09239944,53.8314047,34.22690145,81.52707316,50.7473073,96.48336766,41.57582934,47.77332081,13.73160892,58.09346604,50.80711516,66.94509043,39.72705266,82.97125254,56.63002771,127.0218552,39.26402493,47.36863298
5,10.41075725,93.10936203,60.55883149,51.03707896,33.43527746,68.14268944,58.19956811,89.36084614,43.75036891,49.20165833,11.34728554,80.06972753,60.53419778,49.22116337,39.0825454,89.76551107,45.75540104,105.4647599,40.62741164,46.32426241,11.18991669,65.91542908,49.87672703,55.45748037,41.93776677,90.7794387,50.90809318,130.781185,38.05353536,44.89818867
6,17.20584502,95.2154774,62.28670657,51.1369153,32.98156683,70.68271766,60.06715711,91.78015311,45.08926465,46.88251019,18.69472867,83.37920984,61.13174124,50.12673857,36.90839869,89.88941576,50.47416004,102.5480859,44.17568537,45.54504199,18.83592065,69.44512543,50.21084253,61.45943911,43.10524765,88.67848606,52.1250251,118.0255872,39.68029577,41.45917929
7,26.56986599,92.61924688,63.63466573,52.6182675,32.09081052,71.44044071,61.94059148,93.10949824,43.4860446,45.73803924,28.67081231,76.6340424,63.86501262,50.10317029,32.60562162,95.96514654,54.25989955,112.3836113,42.73755792,46.92242903,27.16047472,69.83278804,51.14973427,62.91193136,34.39699936,101.6847491,54.29944577,126.0379426,39.13745756,38.53321185
8,29.89358247,95.73185771,63.94072443,51.1156054,31.58552804,71.02772179,60.34805965,94.29588706,41.71742032,44.3652623,30.42352402,82.57849524,65.24481687,44.02604219,34.35532287,103.9413514,55.46903957,117.2543551,40.84470072,49.12886042,27.12647963,73.65171605,57.06482543,54.89290744,37.79718202,106.8624418,59.12084928,141.5321676,34.46054128,38.29064602
9,24.12118485,96.92185841,66.90794395,50.10075766,31.96497712,73.13606427,63.02049865,89.63015187,42.40464064,46.5450912,23.23373687,83.77919673,64.4735091,40.58619036,34.57234876,104.5942123,54.23305558,104.3516621,44.63991708,51.5508187,21.56134698,80.41035012,58.64502234,53.06200429,39.48694124,97.71773026,57.54752933,132.4816956,40.12683802,41.20985566
